sl_no,constituency_name,district_name,winning_candidate,sex,age,party,constituency_type,total_electors,valid_votes,candidate_votes,turnout,candidate_vote_share,winning_margin
54,RAICHUR,RAICHUR,DR. SHIVARAJ PATIL S.,M,42,JD(S),General,184986,99286,45263,53.67,45.59,7.93
55,MANVI,RAICHUR,G.HAMPAYYA SAHUKAR BALLATAGI,M,62,INC,ST,199508,121974,50619,61.14,41.5,5.73
56,DEVADURGA,RAICHUR,A. VENKATESH NAIK,M,76,INC,ST,182856,127422,62070,69.68,48.71,2.9
57,LINGSUGUR,RAICHUR,MANAPPA D.VAJJAL,M,52,JD(S),SC,197870,129580,31737,65.49,24.49,0.99
58,SINDHANUR,RAICHUR,BADARLI HAMPANAGOUDA,M,63,INC,General,199977,145208,49213,72.61,33.89,8.96
59,MASKI,RAICHUR,PRATAPGOWDA PATIL,M,58,INC,ST,164884,105728,45552,64.12,43.08,18.11
60,KUSHTAGI,KOPPAL,DODDANAGOUDA HANAMAGOUDA PATIL,M,44,BJP,General,193774,138246,44007,71.34,31.83,2.2
61,KANAKAGIRI,KOPPAL,SHIVARAJ SANGAPPA TANGADAGI,M,42,INC,SC,183620,135446,49451,73.76,36.51,3.73
62,GANGAWATI,KOPPAL,IQBAL ANSARI,M,51,JD(S),General,170865,125343,60303,73.36,48.11,23.77
63,YELBURGA,KOPPAL,BASAVARAJ RAYARADDY,M,57,INC,General,180009,136729,52388,75.96,38.32,12.36
64,KOPPAL,KOPPAL,K.RAGHAVENDRA BASAVARAJ HITNAL,M,34,INC,General,205255,151417,81062,73.77,53.54,17.69
65,SHIRAHATTI,GADAG,DODDAMANI RAMAKRISHNA SHIDDLINGAPPA,M,57,INC,SC,182763,131227,44738,71.8,34.09,0.24
66,GADAG,GADAG,H K PATIL,M,60,INC,General,191106,136314,70475,71.33,51.7,24.74
67,RON,GADAG,GURUPADAGOUDA SANGANAGOUDA PATIL,M,65,INC,General,195737,145905,74593,74.54,51.12,12.49
